id	lat	long	$gauge	
2509	12.05	-61.7333	Grenada - Prickly Bay- Grenada	
2460	12.10426	-68.94156	Curacao - Willemstad	
802	12.7883	44.9742	Yemen - Aden 	
53	12.86667	132.3333	740 NM West of Agana- Guam	
2518	13.1	80.3	India - Chennai	
1327	13.161	123.758	Philippines - Legaspi	
2452	13.3093	-87.8181	El Salvador - La_Union_SV	
958	13.4283	144.797	USA - Pago Bay  Guam	
889	13.438	144.652	USA - Guam (Apra Harbor) 	
798	13.5739	-89.8383	El Salvador - Acajutla_SV 	
2488	13.7751	109.2543	Viet Nam - Qui_Nhon	
1527	13.818	120.202	Philippines - Lubang 	
935	14.5833	120.9667	Philippines - Manila 	
855	14.676	-17.42	Senegal - Dakar 	
1528	14.712	-92.401	Mexico - Puerto Madero- Chis. 	
1013	14.8167	120.2833	Philippines - Subic_Bay 	
988	15.2266	145.7416	USA - Saipan_US 	
33	15.26	-68.229	230 NM South of San Juan- PR	
2510	15.3	-61.4	Dominica island - Roseau	
35	16.03372	-107.001	240 NM Southwest of Manzanillo- Mexico	
1552	16.168	-95.197	Mexico - Salina Cruz- Oax. 	
1505	16.303	-61.072	France - La Desirade Island- Guadeloupe 	
942	16.4833	97.6166	Myanmar - Moulmein 	
903	16.739	-169.5233	USA - Johnston_US 	
960	16.755	-22.9833	 islas del - Palmeira Cabo Verde	
799	16.8333	-99.9166	Mexico - Acapulco_MX 	
1493	16.838	-99.903	Mexico - Acapulco Club de Yates 	
989	16.935	54.0067	Oman - Salalah 	
2532	17.68	83.28	India - Visakhapatnam	
928	17.7	-64.75	USA - Limetree_VI 	
1010	17.7419	-64.6922	USA - St_Croix_VI 	
1521	17.94	-102.178	Mexico - Lazaro Cardenas 	
1373	17.973	-66.762	Puerto Rico - Penuelas (Punta Guayanilla)-	
930	17.9767	-67.0467	USA - Magueyes_Island_PR 	
1447	18.017	120.483	Philippines - Currimao 	
1433	18.055	-65.833	USA - Yabucoa Harbor- PR	
941	18.09	-67.9383	USA - Mona_Island_PR 	
1534	18.09	-67.938	USA - Mona Island PR (web) 	
1029	18.0939	-62.4714	USA - Vieques_PR 	
951	18.1	-15.95	Mauritania - Nouakchott 	
1507	18.15	-94.27	Mexico - Frontera 	
1314	18.15	-65.435	Puerto Rico - Isabel Segunda	
922	18.2	-64.44	USA - LameshurBayStJohnVI 	
1339	18.217	-67.159	Puerto Rico - Mayaguez	
852	18.3008	-65.3028	USA - Culebra_Is_PR 	
805	18.3333	-64.9167	USA - Charlotte-Amalie_VI 	
1302	18.334	-65.631	Puerto Rico - Fajardo	
1473	18.421	-69.629	Dominican Republic - Santo Domingo/p.San Andres 	
992	18.4617	-66.1167	USA - San_Juan_PR 	
1442	18.48	-66.702	Puerto Rico - Arecibo (GTS) 	
1273	18.48	-66.702	Puerto Rico - Arecibo	
1546	18.505	-68.376	Dominican Republic - Punta Cana 	
1499	18.617	-91.817	Mexico - Ciudad del Carmen- Camp. 	
936	19.062	-104.252	Mexico - Manzanillo_MX 	
1563	19.192	-96.124	Mexico - Veracruz- Ver. 	
49	19.28561	155.7663	 610 NM Northeast of Saipan	
1034	19.29	166.618	USA - Wake_US 	
47	19.63	-156.525	140 NM Southeast of Honolulu- HI	
893	19.733	-155.058	USA - Hilo Hawaii	
1547	19.799	-70.702	Dominican Republic - Puerto Plata 	
910	20.036	-155.832	USA - Kawaihae Hawaii	
937	20.6833	58.8667	Oman - Masirah 	
909	20.78	-156.9	USA - Kaumalapau Hawaii	
2542	20.799	65.347	Station 23228 - Arabian Sea	
1501	20.865	-90.405	Mexico - Celestun- Yuc. 	
905	20.898	-156.472	USA - Kahului Maui	
52	20.93567	132.3088	760 NM Northeast of Manila- Philippines	
1562	20.97	-97.4	Mexico - Tuxpan 	
1514	21.217	-86.717	Mexico - Isla Mujeres- Q. R. 	
897	21.307	-157.867	USA - Honolulu Oahu	
1548	21.367	-86.75	Mexico - Puerto Morelos- Q. R. 	
946	21.957	-159.36	USA - Nawiliwili Kauai	
839	22.3333	91.825	Bangladesh - Chittagong 	
1531	23.181	-106.424	Mexico - Mazatlan 	
30	23.31232	-67.63937	690 NM East of Miami- FL	
31	23.3995	-63.90094	320 NM North of San Juan- PR	
1459	23.628	58.565	Oman - Muscat (BGAN) 	
1460	23.633	58.567	Oman - Muscat 	
881	23.867	-166.283	USA - Tern Fr._Frigate_US	
828	23.883	-109.9	Mexico - Cabo_San_Lucas_MX 	
1526	24.15	-110.3	Mexico - La Paz 	
902	24.2	124.1	Japan - Ishigakijima 	
917	24.553	-81.808	USA - Key_West_FL 	
908	24.85	67.03	Pakistan - Karachi 	
2450	25.133	62.033	Pakistan - Gwadar	
1091	25.2	-87	Station 42408 - 310 NM South-Southeast of New Orleans- LA	
2506	25.2	64.067	Pakistan - Ormara	
835	25.2958	60.603	Iran - Chabahar 	
1450	25.63	57.77	Iran - Jask 	
944	26.22	127.67	Japan - Naha 	
1400	26.42	-79.01	Bahamas - Settlement pt	
875	26.65	-81.87	USA - Fort_Myers_FL 	
34	26.658	-85.791	295 NM Southeast of New Orleans- LA	
1293	27.58	-97.217	USA - Corpus Christi- TX	
854	27.978	-82.832	USA - Clearwater_Beach_FL 	
918	28.09	-17.11	Spain - LaGomera 	
2484	28.13	-15.41	Spain - Puerto de la Luz	
1455	28.141	-15.412	Spain - LasPalmas2 	
939	28.207	-177.356	USA - Midway 	
1479	28.477	-16.241	Spain - Tenerife2 	
1322	28.68	-17.77	Spain - LaPalma	
1376	28.932	-89.407	USA - Pilots Station East- SW Pass- LA	
812	29.02	-13.52	Spain - Arrecife 	
1309	29.263	-89.957	USA - Grand Isle- LA	
887	29.31	-94.793	USA - Galveston_Pier_TX 	
1324	29.45	-91.338	USA - LAWMA- Amerada Pass- LA	
809	29.727	-84.982	USA - Apalachicola_FL 	
1286	29.768	-93.343	USA - Calcasieu Pass- LA	
866	30.05	-90.368	USA - East_Bank_1_LA 	
860	30.2	-88.1	USA - Dauphin_Island_AL 	
1278	30.326	-89.326	USA - Bay Waveland Yacht Club- MS	
971	30.403	-87.212	USA - Pensacola_FL 	
20	30.55	152.1178	690 NM Southeast of Tokyo- Japan	
872	30.672	-81.465	USA - Fernadina_Beach_FL 	
1440	31.211	29.924	Egypt - Alexandria 	
878	32.033	-80.902	USA - Fort_Pulaski_GA 	
824	32.22	-64.7	UK - Bermuda_UK 	
44	32.246	-120.698	190 NM West-Southwest of San Diego- CA	
1510	32.471	34.863	Israel - Hadera 	
1021	32.78	132.97	Japan - Tosashimizu 	
920	32.867	-117.258	USA - La_Jolla_CA 	
32	32.9279	-72.4696	370 NM East of Charleston- SC	
955	34.6	138.23	Japan - Omaezaki 	
821	34.72	-76.67	USA - Beaufort_NC 	
2533	34.72708	33.33838	Cyprus - Zygi	
2482	34.75513	32.40882	Cyprus - Paphos	
